中文名称,英文名称,组合码,人口数,省会城市,纬度,经度
安徽省,Anhui,"Anhui, China",63240000,合肥市,31.8257,117.2264
北京市,Beijing,"Beijing, China",21540000,北京,40.1824,116.4142
重庆市,Chongqing,"Chongqing, China",31020000,重庆,30.0572,107.874
福建省,Fujian,"Fujian, China",39410000,厦门市,26.0789,117.9874
甘肃省,Gansu,"Gansu, China",26370000,兰州市,35.7518,104.2861
广东省,Guangdong,"Guangdong, China",113460000,广州市,23.3417,113.4244
广西省,Guangxi,"Guangxi, China",49260000,南宁市,23.8298,108.7881
贵州省,Guizhou,"Guizhou, China",36000000,贵阳市,26.8154,106.8748
海南省,Hainan,"Hainan, China",9340000,海口市,19.1959,109.7453
河北省,Hebei,"Hebei, China",75560000,石家庄市,37.8957,114.9042
黑龙江省,Heilongjiang,"Heilongjiang, China",37730000,哈尔滨市,47.862,127.7615
河南省,Henan,"Henan, China",96050000,郑州市,33.882,113.614
湖北省,Hubei,"Hubei, China",59170000,武汉市,30.9756,112.2707
湖南省,Hunan,"Hunan, China",68990000,长沙市,27.6104,111.7088
内蒙古自治区,Inner Mongolia,"Inner Mongolia, China",25340000,呼和浩特市,44.0935,113.9448
江苏省,Jiangsu,"Jiangsu, China",80510000,南京市,32.9711,119.455
江西省,Jiangxi,"Jiangxi, China",46480000,南昌市,27.614,115.7221
吉林省,Jilin,"Jilin, China",27040000,吉林市,43.6661,126.1923
辽宁省,Liaoning,"Liaoning, China",43590000,长春市,41.2956,122.6085
宁夏省,Ningxia,"Ningxia, China",6880000,银川市,37.2692,106.1655
青海省,Qinghai,"Qinghai, China",6030000,西宁市,35.7452,95.9956
陕西省,Shaanxi,"Shaanxi, China",38640000,西安市,35.1917,108.8701
山东省,Shandong,"Shandong, China",100470000,济南市,36.3427,118.1498
台湾省,Taiwan,"Taiwan, China",23816775,台北市,23.7,121
上海市,Shanghai,"Shanghai, China",24240000,上海,31.202,121.4491
山西省,Shanxi,"Shanxi, China",37180000,太原市,37.5777,112.2922
四川省,Sichuan,"Sichuan, China",83410000,成都市,30.6171,102.7103
天津市,Tianjin,"Tianjin, China",15600000,天津,39.3054,117.323
西藏自治区,Tibet,"Tibet, China",3440000,拉萨市,31.6927,88.0924
新疆维吾尔族自治区,Xinjiang,"Xinjiang, China",24870000,乌鲁木齐市,41.1129,85.2401
云南省,Yunnan,"Yunnan, China",48300000,昆明市,24.974,101.487
浙江省,Zhejiang,"Zhejiang, China",57370000,杭州市,29.1832,120.0934
香港特别行政区,Hong Kong,"Hong Kong, China",7496988,香港,22.3,114.2
澳门特别行政区,Macau,"Macau, China",649342,澳门,22.1667,113.55
