省,市,区,地址详情,风险等级
北京市,北京市,大兴区,天宫院街道融汇社区,中风险地区
北京市,北京市,顺义区,北石槽镇北石槽村,中风险地区
北京市,北京市,顺义区,北石槽镇西赵各庄村,中风险地区
北京市,北京市,顺义区,赵全营镇联庄村,中风险地区
北京市,北京市,顺义区,高丽营镇张喜庄村,中风险地区
吉林省,公主岭市,范家屯镇,全域,中风险地区
吉林省,通化市,东昌区,全域,高风险地区
吉林省,通化市,医药高新区,奕达小区,中风险地区
吉林省,长春市,二道区,鲁辉国际城荷兰小镇小区,中风险地区
吉林省,长春市,绿园区,大禹华邦B区,中风险地区
吉林省,长春市,绿园区,蓉桥壹号C区,中风险地区
河北省,廊坊市,固安县,英国宫5期,中风险地区
河北省,石家庄市,平山县,防疫站小区,中风险地区
河北省,石家庄市,新乐市,全域,高风险地区
河北省,石家庄市,新华区,丽都河畔小区,中风险地区
河北省,石家庄市,新华区,尚金苑小区,中风险地区
河北省,石家庄市,新华区,都市阳光小区,中风险地区
河北省,石家庄市,无极县,东北远村,中风险地区
河北省,石家庄市,无极县,高新区西郝庄村,中风险地区
河北省,石家庄市,栾城区,卓达太阳城希望之洲小区,中风险地区
河北省,石家庄市,桥西区,华润万象城,中风险地区
河北省,石家庄市,桥西区,平安小区,中风险地区
河北省,石家庄市,桥西区,白金公寓,中风险地区
河北省,石家庄市,正定县,东平乐村,中风险地区
河北省,石家庄市,正定县,冯家庄村,中风险地区
河北省,石家庄市,正定县,孔村,中风险地区
河北省,石家庄市,正定县,空港花园小区,中风险地区
河北省,石家庄市,藁城区,全域,高风险地区
河北省,石家庄市,行唐县,滨河小区,中风险地区
河北省,石家庄市,裕华区,东方明珠小区,中风险地区
河北省,石家庄市,裕华区,众美廊桥四季A区,中风险地区
河北省,石家庄市,裕华区,十二化建小区16号楼,中风险地区
河北省,石家庄市,裕华区,十二化建小区17号楼,中风险地区
河北省,石家庄市,裕华区,卓东小区,中风险地区
河北省,石家庄市,裕华区,天海誉天下小区,中风险地区
河北省,石家庄市,裕华区,新华苑小区,中风险地区
河北省,石家庄市,裕华区,晶彩苑小区,中风险地区
河北省,石家庄市,裕华区,河北城建学校家属院,中风险地区
河北省,石家庄市,裕华区,海天阳光小区,中风险地区
河北省,石家庄市,赵县,任庄村,中风险地区
河北省,石家庄市,长安区,保利花园B区,中风险地区
河北省,石家庄市,长安区,前进村,中风险地区
河北省,石家庄市,长安区,博雅盛世小区E区,中风险地区
河北省,石家庄市,长安区,国赫红珊湾小区,中风险地区
河北省,石家庄市,长安区,建明小区,中风险地区
河北省,石家庄市,长安区,普和小区南院,中风险地区
河北省,石家庄市,长安区,简筑家园小区,中风险地区
河北省,石家庄市,高新区,主语城小区,中风险地区
河北省,石家庄市,高新区,同祥城小区C区,中风险地区
河北省,石家庄市,高新区,和合美家小区,中风险地区
河北省,石家庄市,高新区,太行嘉苑小区,中风险地区
河北省,石家庄市,高新区,赵村新区小区,中风险地区
河北省,石家庄市,鹿泉区,观峰嘉邸小区,中风险地区
河北省,石家庄市,鹿泉区,银山花园新区小区,中风险地区
河北省,邢台市,南宫市,全域,高风险地区
河北省,邢台市,隆尧县,烟草家园（烟草公司家属院）,中风险地区
辽宁省,大连市,金普新区,光中街道胜利西社区,中风险地区
辽宁省,大连市,金普新区,拥政街道古城甲区,中风险地区
辽宁省,沈阳市,铁西区,卫工北街22号楼,中风险地区
辽宁省,沈阳市,铁西区,笃工街道纳帕阳光,中风险地区
黑龙江省,哈尔滨市,香坊区,香上东社区万象上东小区E栋2单元,中风险地区
黑龙江省,哈尔滨市,香坊区,香和平路街道办事处风华社区石化小区9栋6单元,中风险地区
黑龙江省,哈尔滨市,香坊区,香坊大街街道办事处香中社区古香街12号,中风险地区
黑龙江省,哈尔滨市,香坊区,香大庆路街道办事处电塔小区101栋7单元,中风险地区
黑龙江省,大庆市,龙凤区,世纪唐人中心小区2栋1单元,中风险地区
黑龙江省,绥化市,望奎县,全域,高风险地区
黑龙江省,黑河市,爱辉区,人保财险社区水岸华府小区10A楼,中风险地区
黑龙江省,齐齐哈尔市,昂昂溪区,大五福玛村,中风险地区
